# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	234938
#@/user_id	719dad4c-c9d9-4b1c-b8ec-191ba8a2c940
ai shang fa shen fo 	愛上法身佛	c=4 d=0.0202047 t=234932
ai shu cong 	矮樹叢	c=1 d=1 t=203730
ai si 	艾斯	c=3 d=4.31697e-30 t=234932
ai si zhu shou 	愛思助手	c=3 d=1 t=207277
ai te 	艾特	c=1 d=7.6131e-116 t=234932
ai wen si 	埃文斯	c=1 d=1 t=179081
ai wo 	唉喔	c=1 d=2.22206e-11 t=234932
ai xue xi 	愛學習	c=1 d=1 t=126916
ai ya 	哎呀	c=3 d=3.37664e-169 t=234932
ai yi ge 	愛一個	c=1 d=5.28927e-08 t=234932
an 	安	c=16 d=0.26735 t=234932
an 	岸	c=1 d=1.7928e-15 t=234932
an 	按	c=45 d=0.016487 t=234932
an 	暗	c=11 d=0.645901 t=234932
an an mo 	按按摩	c=1 d=1 t=208628
an bao 	安保	c=1 d=2.38237e-07 t=234932
an bi 	安謐	c=0 d=0.1 t=232588
an cha shi 	按察使	c=1 d=3.0415e-57 t=234932
an cuo le 	按錯了	c=1 d=4.3687e-170 t=234932
an da shi 	安達市	c=2 d=5.59291e-47 t=234932
an ge mo 	按個摩	c=1 d=7.52813e-131 t=234932
an hao 	暗號	c=4 d=2.54803 t=139976
an hei 	暗黑	c=1 d=1 t=183063
an ji suan 	氨基酸	c=1 d=1 t=222910
an jian 	按鍵	c=2 d=2.0599e-90 t=234932
an jiao 	按腳	c=1 d=5.71798e-160 t=234932
an jing 	安靜	c=2 d=1 t=145177
an kan 	俺看	c=1 d=1 t=161888
an li 	安利	c=1 d=0.878095 t=234932
an li 	按理	c=1 d=3.713e-51 t=234932
an li 	案例	c=4 d=1 t=168002
an li shuo 	按理說	c=7 d=1.80491e-06 t=234932
an mo 	按摩	c=7 d=0.657047 t=234932
an nai er 	安奈兒	c=1 d=1 t=233360
an niu 	按鈕	c=83 d=4.74896e-05 t=234932
an pai 	安排	c=30 d=0.66365 t=234932
an quan 	安全	c=51 d=8.39411e-07 t=234932
an quan bu 	安全部	c=2 d=1.19616e-19 t=234932
an quan gan 	安全感	c=1 d=3.28027e-05 t=234932
an quan xing 	安全性	c=1 d=1.00239e-28 t=234932
an sha 	暗殺	c=1 d=1 t=186742
an shan 	鞍山	c=18 d=1.11415e-07 t=234932
an shan shi 	鞍山市	c=2 d=1.02849e-07 t=234932
an shen 	安身	c=1 d=1 t=155592
an shi 	按時	c=4 d=1.72996e-07 t=234932
an shi 	暗示	c=2 d=1.71007e-18 t=234932
an shi da suan 	按時打算	c=61 d=0.011976 t=234932
an shi da suan ao si da 	按時打算奧斯達	c=1 d=1 t=204557
an shi da suan da 	按時打算打	c=12 d=3.8554e-05 t=234932
an shi da suan da de 	按時打算打的	c=1 d=1 t=204845
an shi da suan da dou shi 	按時打算打都是	c=1 d=1 t=230265
an shi da suan da sa da sheng da shu da shen da shu da shen 	按時打算打萨达省大叔大婶大叔大婶	c=1 d=1 t=204221
an shi da suan da sa da shi da shi da shu da shen da 	按時打算打撒大師大師大叔大婶大	c=1 d=1 t=214713
an shi da suan da sa da shi da shi da shu da shen da su da de 	按時打算打撒大師大師大叔大婶大蘇打的	c=1 d=1 t=138336
an shi da suan da sa da shi da shi da su da 	按時打算打撒大師大師大蘇打	c=1 d=1 t=214714
an shi da suan da sa si 	按時打算打薩斯	c=1 d=1.46403e-14 t=234932
an shi da suan da shi si da 	按時打算打十四大	c=1 d=1 t=204372
an shi da suan da shun de qu wo 	按時打算打順德區我	c=1 d=7.36574e-51 t=234932
an shi da suan da su da 	按時打算大蘇打	c=5 d=2.10088 t=205300
an wang 	暗網	c=2 d=1.09371e-104 t=234932
an wei 	安慰	c=8 d=3.50642e-54 t=234932
an xia 	按下	c=2 d=1 t=232971
an xu 	按需	c=17 d=2.17003e-06 t=234932
an xu da bao 	按需打包	c=1 d=1 t=166660
an xu ji 	按需雞	c=1 d=8.56249e-175 t=234932
an xu jia zai 	按需加載	c=4 d=1.74741e-125 t=234932
an xu yin ru 	按需引入	c=2 d=5.55767e-149 t=234932
an ye 	暗夜	c=1 d=2.05382e-114 t=234932
an yi 	安逸	c=2 d=2.06411e-114 t=234932
an zang zhe 	暗藏着	c=0 d=2.35172e-179 t=234932
an zhao 	按照	c=77 d=2.22807 t=234932
an zhuang 	安裝	c=89 d=2.24108 t=234932
an zhuo 	安卓	c=2 d=3.37546e-18 t=234932
ang 	昂	c=1 d=1 t=147790
ang wo 	昂我	c=1 d=1.8578e-81 t=234932
ao 	嗷	c=78 d=0.806541 t=234932
ao 	奧	c=6 d=0.00612731 t=234932
ao 	熬	c=8 d=1.70507e-13 t=234932
ao 	翱	c=1 d=8.59426e-101 t=234932
ao ao 	嗷嗷	c=4 d=1.51118e-34 t=234932
ao ao dai shi 	嗷嗷待食	c=1 d=1 t=204193
ao bei de 	敖貝得	c=2 d=0.386741 t=234932
ao de sa 	敖德薩	c=4 d=1 t=234797
ao de sai 	奧德賽	c=1 d=5.89431e-135 t=234932
ao di 	奧迪	c=1 d=1 t=132218
ao ke ma 	澳柯瑪	c=11 d=1 t=140469
ao li 	奧理	c=0 d=1.91751e-160 t=234932
ao li gei 	奧理給	c=1 d=1.92713e-159 t=234932
ao nao 	懊惱	c=1 d=4.97262e-17 t=234932
ao si da 	奧斯達	c=281 d=3.01739 t=234932
ao si da a 	奧斯達啊	c=1 d=1 t=189419
ao si da a a 	奧斯達呵呵	c=1 d=0.0112206 t=234932
ao si da dan shi 	奧斯達但是	c=2 d=1 t=204526
ao si da de 	奧斯達的	c=2 d=1.12873 t=204500
ao si da sa da sheng da da 	奧斯達萨达省大大	c=1 d=1 t=209233
ao si da sa dan 	奧斯達撒旦	c=1 d=1 t=204375
ao si da shou dao 	奧斯達收到	c=79 d=0.756424 t=234932
ao si da shou dao sa dan 	奧斯達收到撒旦	c=1 d=1 t=204377
ao si da su da shui 	奧斯達蘇打水	c=11 d=1.67449e-06 t=234932
ao si mo 	嗷廝磨	c=1 d=7.51095e-16 t=234932
ao te 	奧特	c=0 d=0.0806541 t=234932
ao te ma 	奧特嗎	c=1 d=0.810584 t=234932
ao te man 	奧特曼	c=5 d=1.61716 t=234932
ao wu 	嗷嗚	c=3 d=7.56929e-162 t=234932
ao ye 	熬夜	c=4 d=3.35623e-39 t=234932
apple 	Apple	c=1 d=3.72466e-176 t=234932
ba 	八	c=2 d=0.0680958 t=234932
ba 	叭	c=3 d=3.30766e-132 t=234932
ba 	吧	c=2180 d=3.30191 t=234932
ba 	扒	c=2 d=1.09802e-100 t=234932
ba 	把	c=453 d=0.657554 t=234932
ba 	拔	c=1 d=6.05892e-18 t=234932
ba 	芭	c=1 d=5.90109e-31 t=234932
ba ba 	叭叭	c=3 d=1.0224e-07 t=234932
ba ba 	爸爸	c=9 d=3.25714e-10 t=234932
ba ba le 	叭叭了	c=1 d=3.80258e-08 t=234932
ba bai 	八百	c=1 d=1 t=209751
ba bai wan 	八百萬	c=1 d=1 t=224904
ba bi 	芭比	c=2 d=1 t=201727
ba bu er 	巴布爾	c=1 d=1 t=171799
ba ceng 	八層	c=1 d=1 t=138600
ba ci 	八次	c=1 d=1.61389e-131 t=234932
ba dian 	八點	c=8 d=1.68289e-06 t=234932
ba dian ban 	八點半	c=1 d=1.3878e-32 t=234932
ba fei te 	巴菲特	c=3 d=4.89442e-07 t=234932
ba ga 	八嘎	c=2 d=9.88375e-128 t=234932
ba ga ya lu 	八嘎呀路	c=2 d=1.33779e-12 t=234932
ba ge 	八個	c=4 d=4.05921e-41 t=234932
ba gua 	八卦	c=2 d=1 t=208326
ba jiu qian 	八九千	c=1 d=0.00511796 t=234932
ba kong 	把控	c=3 d=1.42179e-25 t=234932
ba la 	巴拉	c=1 d=5.98907e-58 t=234932
ba le 	罷了	c=2 d=1.60632e-17 t=234932
ba li 	巴黎	c=2 d=1.99501 t=161776
ba ma 	爸媽	c=2 d=6.83236e-49 t=234932
ba mi 	八米	c=0 d=0.1 t=211664
ba ni 	把你	c=8 d=1.25382e-14 t=234932
ba ni men 	把你們	c=1 d=2.43697e-97 t=234932
ba nian 	八年	c=1 d=0.000605171 t=234932
ba qi 	霸氣	c=1 d=7.40596e-115 t=234932
ba qian 	八千	c=2 d=2.93858e-05 t=234932
ba qian 	把錢	c=1 d=0.22091 t=234932
ba shou ji 	把手機	c=1 d=1.3181e-14 t=234932
ba ta 	把它	c=1 d=3.99227e-110 t=234932
ba tian 	八天	c=1 d=1.26492e-147 t=234932
ba wang 	霸王	c=2 d=1.4602e-42 t=234932
ba wang bie ji 	霸王別姬	c=1 d=1.46752e-42 t=234932
ba wen jian 	把文件	c=1 d=0.00882647 t=234932
ba wo 	把我	c=18 d=3.24818e-07 t=234932
ba wo 	把握	c=3 d=1 t=185924
ba yu quan 	鮁魚圈	c=1 d=4.72034e-169 t=234932
ba yue 	八月	c=0 d=1.04404e-08 t=234932
ba yue ban 	八月半	c=1 d=1.04927e-07 t=234932
ba yue fen 	八月份	c=1 d=1 t=211942
ba zhan 	霸佔	c=1 d=0.0225956 t=234932
